prototype,built_from_windows,e000,e001,e002,e003,e004,e005,e006,e007,e008,e009,e010,e011,e012,e013,e014,e015,e016,e017,e018,e019,e020,e021,e022,e023,e024,e025,e026,e027,e028,e029,e030,e031,e032,e033,e034,e035,e036,e037,e038,e039,e040,e041,e042,e043,e044,e045,e046,e047,e048,e049,e050,e051,e052,e053,e054,e055,e056,e057,e058,e059,e060,e061,e062,e063,e064,e065,e066,e067,e068,e069,e070,e071,e072,e073,e074,e075,e076,e077,e078,e079,e080,e081,e082,e083,e084,e085,e086,e087,e088,e089,e090,e091,e092,e093,e094,e095,e096,e097,e098,e099,e100,e101,e102,e103,e104,e105,e106,e107,e108,e109,e110,e111,e112,e113,e114,e115,e116,e117,e118,e119,e120,e121,e122,e123,e124,e125,e126,e127
s05_p0,358,-0.1188,-0.1456,0.1403,-0.0586,-0.1595,0.136,-0.0356,0.177,-0.1565,0.0337,-0.0317,0.1589,0.0644,0.0842,-0.0781,-0.0518,0.0418,0.0833,0.0643,-0.0351,-0.0596,-0.0214,-0.0297,-0.0112,0.0305,-0.119,0.0572,0.0257,-0.0418,0.0765,-0.1854,0.0375,0.0973,0.0536,-0.0259,0.0368,-0.0527,0.0117,-0.0448,0.0517,-0.046,-0.0111,-0.0534,0.0605,0.0582,0.052,0.0038,-0.0611,0.1229,0.1189,-0.011,-0.1795,0.0236,0.0634,-0.0552,0.0003,0.1119,-0.057,-0.0165,0.1398,0.0451,0.0321,-0.008,0.0013,-0.0246,-0.1654,0.0598,-0.0382,0.0015,0.0081,-0.0892,-0.0115,-0.1837,-0.1412,0.1509,-0.1868,-0.1865,-0.0448,0.0747,0.1323,-0.0417,0.0109,-0.0848,-0.0031,0.1343,-0.0467,-0.129,0.1136,-0.0861,0.0086,0.083,-0.0033,0.0446,-0.1062,0.0025,-0.0514,0.0676,-0.1561,0.124,0.0575,0.0699,0.0224,0.0569,-0.1218,0.0748,-0.0687,-0.06,-0.0673,-0.0754,0.0522,0.0768,-0.0538,0.0071,0.1639,0.0571,0.1809,-0.0569,-0.0467,0.0052,0.089,0.0252,0.0167,-0.0402,0.1351,-0.074,0.1273,-0.1365,0.1329
s05_p1,637,-0.1078,-0.0733,0.1087,-0.0314,-0.1595,0.1399,-0.049,0.1417,-0.1426,0.047,-0.0269,0.0861,0.0071,0.1211,-0.0936,-0.0633,0.0191,0.0909,0.0689,-0.0565,-0.0986,-0.0079,-0.0151,-0.0124,0.012,-0.1323,0.0558,-0.0074,-0.0592,0.034,-0.164,0.066,0.0768,0.0842,-0.0579,0.0337,-0.0391,0.0009,-0.0315,0.082,-0.0059,-0.0603,-0.0714,0.0573,0.0852,0.0463,-0.0547,-0.0224,0.1647,0.1185,-0.0043,-0.212,0.0452,0.0875,-0.0455,0.0296,0.1533,-0.0332,-0.0299,0.1265,0.0628,0.0508,-0.0007,0.0014,-0.0091,-0.1211,0.0656,-0.0073,-0.0233,-0.0107,-0.0679,-0.0225,-0.1825,-0.1023,0.1716,-0.1951,-0.1686,-0.0608,0.0853,0.0848,-0.0379,0.0358,-0.1172,0.0068,0.1572,-0.0829,-0.1654,0.0821,-0.1441,0.0403,0.0572,-0.0136,0.0617,-0.0825,0.012,-0.0778,0.0776,-0.1866,0.1476,0.0176,0.0717,0.0357,0.0788,-0.0997,0.0428,-0.0956,-0.09,-0.029,-0.0576,0.0669,0.0729,-0.0506,0.0125,0.157,0.0634,0.1798,-0.0389,-0.0831,0.0193,0.0973,0.0403,-0.0052,-0.0464,0.108,-0.0683,0.0919,-0.0844,0.1371
s05_p2,896,-0.1308,-0.1068,0.1425,-0.0317,-0.1819,0.1621,0.0053,0.1628,-0.1065,0.0104,-0.0533,0.1145,0.0491,0.0522,-0.1092,-0.0639,-0.0192,0.05,0.0716,-0.083,-0.0711,-0.0308,-0.0088,-0.0338,0.057,-0.1551,0.0831,-0.1,-0.0544,0.0673,-0.1049,0.0736,0.0616,0.1109,-0.0623,0.0111,-0.0454,-0.0132,-0.0337,0.0878,0.0045,-0.0711,-0.0377,0.0391,0.0835,0.0779,-0.02,-0.0324,0.1754,0.071,0.0087,-0.2463,-0.027,0.048,-0.06,0.0231,0.1563,-0.0143,-0.0483,0.1457,0.0537,0.0135,0.0039,-0.0009,-0.0116,-0.1401,0.0591,-0.0054,-0.026,0.0074,-0.0672,-0.0211,-0.1738,-0.1195,0.1306,-0.1691,-0.2079,-0.0818,0.1024,0.1402,-0.0803,0.0224,-0.1245,-0.0238,0.1455,0.0023,-0.1192,0.0475,-0.1279,0.0419,0.0937,-0.0048,0.052,-0.0859,0.0399,-0.0225,0.0814,-0.1658,0.1106,-0.0155,0.0348,0.0504,0.0724,-0.0885,0.0619,-0.0968,-0.0669,-0.0359,-0.0173,0.0379,0.0955,0.0029,0.0089,0.1569,0.0558,0.1618,-0.0574,-0.0693,0.0367,0.1156,0.0314,0.0251,-0.0219,0.1202,-0.0318,0.1012,-0.0952,0.1051
